label,label_reason,result_r,signal_id,timestamp,symbol,direction,market_regime,session,entry_context,trade_location,setup_type,score,trend,trend_higher_timeframe,timeframe_alignment,rsi,body_ratio,volume_ratio,atr,distance_to_liquidity_atr,liquidity_sweep,break_of_structure,has_against_htf,has_low_volume,has_dirty_sideways_market,has_market_structure_range_penalty,has_timeframe_alignment_penalty,has_secondary_confluence_bonus,warnings_count,penalties_count,meta_decision_score,trade_quality_score,edge_confirmation_score
1,recorded_status_tp,2.951,paper_60d54e32edf8,2026-05-04T08:57:13.788292+00:00,INJUSDT,short,HIGH_VOLATILITY,LONDON,PULLBACK,near_resistance,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,recorded_status_timeout,1.0,paper_dfaabddaca9f,2026-05-04T11:58:41.919637+00:00,BTCUSDT,long,RANGING,LONDON,BREAKOUT,discount_zone,MAIN_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T11:58:43.293501+00:00,ETHUSDT,short,HIGH_VOLATILITY,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,recorded_status_timeout,-0.1795,paper_3b6bbdf6fe27,2026-05-04T11:58:43.328517+00:00,ETHUSDT,short,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,SECONDARY_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,recorded_status_timeout,1.0,paper_28fabf15fceb,2026-05-04T11:58:44.107222+00:00,SOLUSDT,long,HIGH_VOLATILITY,LONDON,BREAKOUT,discount_zone,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,missing_required_data,,,2026-05-04T11:58:46.323821+00:00,DOGEUSDT,short,HIGH_VOLATILITY,,BREAKOUT,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,recorded_status_timeout,-0.21,paper_e7ca9f6c80dc,2026-05-04T11:58:46.348655+00:00,DOGEUSDT,short,HIGH_VOLATILITY,LONDON,BREAKOUT,mid_range,SECONDARY_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,missing_required_data,,,2026-05-04T12:01:37.324225+00:00,BCHUSDT,short,TRENDING,,PULLBACK,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_price_path,,paper_e9f6a1a0d741,2026-05-04T12:01:41.521155+00:00,ARBUSDT,long,HIGH_VOLATILITY,LONDON,PULLBACK,near_support,MAIN_SIGNAL,,,,,,,,,,,,True,False,False,False,False,False,1,0,,,
,missing_required_data,,,2026-05-04T12:06:36.019733+00:00,BTCUSDT,long,RANGING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:40.549540+00:00,AVAXUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:42.980050+00:00,DOTUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:43.668874+00:00,TRXUSDT,long,RANGING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:45.228873+00:00,BCHUSDT,short,TRENDING,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:45.920711+00:00,UNIUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:46.640464+00:00,ATOMUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:51.806131+00:00,AAVEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:53.408460+00:00,SEIUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:57.093832+00:00,PEPEUSDT,long,LOW_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:06:59.166092+00:00,RUNEUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:07:02.854443+00:00,ETCUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T12:07:04.383946+00:00,ALGOUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
,missing_required_data,,,2026-05-04T15:39:53.615983+00:00,BTCUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
0,recorded_status_sl,-1.0,live_efd7ae349e3f,2026-05-04T15:39:54.864055+00:00,BTCUSDT,long,HIGH_VOLATILITY,OVERLAP,BREAKOUT,near_resistance,SECONDARY_SIGNAL,,,,,,,,,,,,False,False,False,False,False,False,1,0,,,
,missing_required_data,,,2026-05-04T15:39:55.679365+00:00,ETHUSDT,long,HIGH_VOLATILITY,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,,,
