group_type,group,rows,labeled_rows,positive_labels,negative_labels,winrate,avg_result_r,total_result_r,tp_hit_count,sl_hit_count,unknown_count,confidence_level,insufficient_data
setup_type+entry_context,NO_SIGNAL|EXHAUSTION,18,0,0,0,0.0,0.0,0,0,0,18,LOW,True
setup_type+entry_context,NO_SIGNAL|CHOPPY_RANGE,6,0,0,0,0.0,0.0,0,0,0,6,LOW,True
setup_type+entry_context,NO_SIGNAL|IMPULSE,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
setup_type+entry_context,MAIN_SIGNAL|BREAKOUT,7,5,2,3,40.0,0.551,2.7552,2,3,2,LOW,True
symbol,SOLUSDT,14,3,0,3,0.0,-1.0,-3.0,0,3,11,LOW,True
symbol,ICPUSDT,4,2,0,2,0.0,-1.0,-2.0,0,2,2,LOW,True
symbol,XRPUSDT,16,1,0,1,0.0,-1.0,-1.0,0,1,15,LOW,True
symbol,UNIUSDT,4,1,0,1,0.0,-1.0,-1.0,0,1,3,LOW,True
symbol,ETCUSDT,2,1,0,1,0.0,-1.0,-1.0,0,1,1,LOW,True
symbol,SANDUSDT,3,1,0,1,0.0,-1.0,-1.0,0,1,2,LOW,True
symbol,APEUSDT,1,1,0,1,0.0,-1.0,-1.0,0,1,0,LOW,True
symbol,ATOMUSDT,2,1,0,1,0.0,-1.0,-1.0,0,1,1,LOW,True
symbol,SUIUSDT,3,1,0,1,0.0,-1.0,-1.0,0,1,2,LOW,True
symbol,TRXUSDT,4,1,0,1,0.0,-1.0,-1.0,0,1,3,LOW,True
symbol,ETHUSDT,43,5,1,4,20.0,-0.4686,-2.3432,1,4,38,LOW,True
symbol,BNBUSDT,14,5,2,3,40.0,0.0,0.0,2,3,9,LOW,True
symbol,FTMUSDT,1,0,0,0,0.0,0.0,0,0,0,1,LOW,True
symbol,MANAUSDT,6,0,0,0,0.0,0.0,0,0,0,6,LOW,True
symbol,TAOUSDT,2,0,0,0,0.0,0.0,0,0,0,2,LOW,True
