generated_at,segment,target_context,feature,value,sample_size,total_r,profit_factor,winrate,avg_r,max_drawdown,confidence,rolling_last_10_r,rolling_last_20_r,rolling_last_30_r,degradation,toxicity_score,opportunity_score,classification
2026-05-29T15:17:24+00:00,HIGH_VOLATILITY_SHORT,market_regime=HIGH_VOLATILITY,penalty,secondary_confluence_bonus:+25,2,-1.6413,0.0,0.0,-0.8206,-1.6413,LOW,-1.6413,-1.6413,-1.6413,0.0,42.1946,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,trade_location,mid_range,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,trade_location,near_resistance,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,score_bucket,60-69,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,volume_bucket,volume_high,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,trend_alignment,misaligned,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,opened_hour_utc,10,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,opened_hour_utc,22,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,opened_hour_utc,8,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,symbol,SOLUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,symbol,UNIUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
2026-05-29T15:17:24+00:00,GLOBAL,entry_context=CHOPPY_RANGE,symbol,ETCUSDT,1,-1.0,0.0,0.0,-1.0,-1.0,LOW,-1.0,-1.0,-1.0,0.0,42.0,0.0,UNSTABLE
