dimension,value,classification,labeled_rows,winrate,avg_result_r,total_result_r,confidence_level,recommendation,next_action
market_regime+entry_context,TRENDING|EXHAUSTION,NEEDS_MORE_DATA,2,50.0,0.3284,0.6568,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,DOGEUSDT,NEEDS_MORE_DATA,2,50.0,0.5,1.0,LOW,no_tocar_estrategia,recoger_mas_labels
direction+market_regime,short|HIGH_VOLATILITY,NEEDS_MORE_DATA,2,50.0,0.9755,1.951,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,near_resistance|PULLBACK,NEEDS_MORE_DATA,2,50.0,0.9755,1.951,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,DOTUSDT,NEEDS_MORE_DATA,1,100.0,1.5,1.5,LOW,no_tocar_estrategia,recoger_mas_labels
trade_location+entry_context,mid_range|EXHAUSTION,NEEDS_MORE_DATA,1,100.0,1.6568,1.6568,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime+entry_context,HIGH_VOLATILITY|PULLBACK,NEEDS_MORE_DATA,1,100.0,2.951,2.951,LOW,no_tocar_estrategia,recoger_mas_labels
symbol,INJUSDT,NEEDS_MORE_DATA,1,100.0,2.951,2.951,LOW,no_tocar_estrategia,recoger_mas_labels
direction+market_regime,short|LOW_VOLATILITY,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
direction+market_regime,long|LOW_VOLATILITY,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
entry_context,UNKNOWN,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
entry_context,IMPULSE,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
has_market_structure_range_penalty,True,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
has_secondary_confluence_bonus,True,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
market_regime,LOW_VOLATILITY,NEEDS_MORE_DATA,0,0.0,0.0,0.0,LOW,no_tocar_estrategia,recoger_mas_labels
