signal_id,timestamp,symbol,direction,entry,stop_loss,take_profit,time_barrier_bars,label,label_reason,result_r,max_r,min_r,bars_to_label,market_regime,session,entry_context,trade_location,setup_type,warnings,penalties
,2026-05-04T12:06:59.166092+00:00,RUNEUSDT,long,0.519,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:07:02.854443+00:00,ETCUSDT,long,8.63,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T12:07:04.383946+00:00,ALGOUSDT,long,0.1126,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T15:39:53.615983+00:00,BTCUSDT,long,80216.16,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
live_efd7ae349e3f,2026-05-04T15:39:54.864055+00:00,BTCUSDT,long,80216.16,78059.472429,84529.535143,24,SL_HIT,recorded_status_sl,-1.0,,,,HIGH_VOLATILITY,OVERLAP,BREAKOUT,near_resistance,SECONDARY_SIGNAL,"[""high_spread""]",
,2026-05-04T15:39:55.679365+00:00,ETHUSDT,long,2371.39,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
live_102ed603d427,2026-05-04T15:39:56.744863+00:00,ETHUSDT,long,2371.39,2304.380857,2505.408286,24,SL_HIT,recorded_status_sl,-1.0,,,,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,SECONDARY_SIGNAL,[],
paper_97ee20e661cc,2026-05-04T15:39:56.748001+00:00,ETHUSDT,long,2371.39,2304.380857,2438.399143,24,SL_HIT,recorded_status_sl,-1.0,0.2562,-3.8933,24,HIGH_VOLATILITY,OVERLAP,BREAKOUT,premium_zone,SECONDARY_SIGNAL,[],
,2026-05-04T15:39:57.542352+00:00,SOLUSDT,long,84.99,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T15:39:58.437836+00:00,XRPUSDT,long,1.4081,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T15:39:59.189373+00:00,BNBUSDT,long,627.19,,,24,UNKNOWN,missing_required_data,,,,,RANGING,,,,,,
,2026-05-04T15:40:01.864421+00:00,DOGEUSDT,long,0.11203,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T15:40:03.910275+00:00,AVAXUSDT,long,9.23,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T16:10:59.062089+00:00,ETHUSDT,long,2350.1,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T16:11:00.278933+00:00,SOLUSDT,long,84.47,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T16:11:01.011143+00:00,XRPUSDT,long,1.399,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T16:11:03.181585+00:00,DOGEUSDT,long,0.11023,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T20:47:04.438084+00:00,ETHUSDT,long,2356.52,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T20:47:07.606183+00:00,BNBUSDT,long,624.93,,,24,UNKNOWN,missing_required_data,,,,,TRENDING,,,,,,
,2026-05-04T20:47:08.440751+00:00,DOGEUSDT,long,0.11042,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:02:10.354246+00:00,BTCUSDT,long,79936.7,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
,2026-05-04T21:02:11.682534+00:00,ETHUSDT,long,2350.15,,,24,UNKNOWN,missing_required_data,,,,,HIGH_VOLATILITY,,,,,,
